                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1663,                  4.058,                 2.6128,                      0,                      0,                      0,                      0,                 3.1957,                 3.0863,                 2.6855,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 2.8014,                 3.6827,                 2.2919,                0.37379,                0.14591,                0.07417,                0.02191,                 2.9327,                 10.633,                 2.3649,             0.00012058,             0.00012058,             0.00012058
                      3,                 2.3762,                 2.4481,                 1.8327,                 0.2831,                0.30835,                0.22076,                0.11657,                 1.8801,                 3.7038,                 1.5917,             0.00017508,             0.00017508,             0.00017508
                      4,                 1.9679,                   1.84,                 1.5859,                0.20413,                0.32397,                0.16616,                0.07401,                 1.7792,                 18.684,                 1.6639,             0.00022065,             0.00022065,             0.00022065
                      5,                 1.9148,                 1.6962,                 1.5099,                0.33193,                0.51601,                0.28783,                0.14051,                 1.8363,                 17.401,                 1.7873,             0.00025731,             0.00025731,             0.00025731
                      6,                 1.7503,                 1.6389,                 1.5155,                0.23722,                0.50354,                0.24596,                0.11576,                 1.9397,                 8.8339,                 1.7232,             0.00028504,             0.00028504,             0.00028504
                      7,                 1.7734,                 1.5349,                 1.5233,                0.15103,                0.40248,                0.12118,                0.05004,                 2.0013,                    inf,                 1.8833,             0.00030384,             0.00030384,             0.00030384
                      8,                 1.7507,                 1.4805,                 1.5296,                0.07406,                0.10095,                 0.0411,                0.01944,                 2.2201,                    inf,                 2.2586,             0.00031373,             0.00031373,             0.00031373
                      9,                 1.6078,                 1.3299,                 1.4034,                0.05957,                0.41148,                0.06928,                0.03687,                 1.9363,                    inf,                 2.1844,             0.00031469,             0.00031469,             0.00031469
                     10,                 1.6518,                 1.3455,                 1.4582,                0.17476,                0.41903,                0.14093,                0.06868,                 2.1272,                    inf,                 2.3994,             0.00030674,             0.00030674,             0.00030674
                     11,                 1.6401,                 1.4229,                  1.429,                0.29881,                0.56447,                0.33043,                0.15425,                 1.8806,                 9.5304,                 1.8956,             0.00028985,             0.00028985,             0.00028985
                     12,                 1.6616,                  1.306,                 1.4312,                0.34324,                0.58172,                0.44868,                 0.2517,                 1.5806,                 7.5948,                 1.6134,             0.00026405,             0.00026405,             0.00026405
                     13,                 1.5248,                 1.1772,                 1.3924,                0.50604,                 0.5942,                 0.5582,                0.31909,                  1.582,                 5.2026,                 1.5683,             0.00022933,             0.00022933,             0.00022933
                     14,                 1.4959,                 1.1336,                 1.3655,                0.43626,                0.63387,                0.59427,                 0.3213,                 1.5673,                 3.1953,                 1.5019,             0.00018568,             0.00018568,             0.00018568
                     15,                 1.4282,                 1.0655,                 1.3305,                0.67483,                0.51698,                0.58315,                0.32775,                 1.5739,                 2.4314,                 1.4788,             0.00013311,             0.00013311,             0.00013311
                     16,                 1.3842,                 1.1026,                 1.2854,                0.49678,                0.65413,                0.62607,                0.36357,                 1.5394,                 2.1288,                 1.4414,             7.1615e-05,             7.1615e-05,             7.1615e-05
